What gender do you identify with?,What is your age?,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? (for Democrats and Republicans, probe: strong [Democrat/Republican] or not very strong [Democrat/Republican]?)","[If Q3 = Republican] If scientific evidence proved that the policies favored by Democrats improved the economy, lowered crime, and made citizens more happy, would you become a Democrat?","[If Q3 = Democrat] If scientific evidence proved that the policies favored by Republicans improved the economy, lowered crime, and made citizens more happy, would you become a Republican?","Would you say you are liberal, conservative, or moderate? (for liberals and conservatives, probe: strong [liberal/conservative] or not very strong [liberal/conservative]?)","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q7OTH1,"What is your race? (white, black, latino, asian, other)",Q8OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Do you believe the government should make sure that Americans have access to clean air and drinking water?,Do you believe that voting in federal elections should be optional or mandatory?,Do you believe it is morally wrong to endorse negative stereotypes about a group of people based on where they were born?,Do you agree or disagree with the following statement: People need to have more respect for authority in this country.,And do you agree or disagree with this next statement: Nobody deserves a free handout from the government.,"Would you say that your opinions on climate change policy are well-informed, or not very well-informed?",Would you support the elimination of the Environmental Protection agency?,"In general, do you believe that American businesses should resist government regulations that they perceive to be unfair?",Do you believe that nuclear power plants produce carbon emissions that contribute to climate change?,"If more people turned out to vote in elections, do you think it would help the Democrats more, help the Republicans more, or make no difference?","Do you believe the government should do more to help small, working class towns in America's heartland?","In general, would you say that people from the south are more racist than people from other parts of the country?"
Male,67,65+,Strong Democrat,,No,Not Very Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,DK/REF,Somewhat Disagree,Not Very Well-informed,No,No,Yes,Help Democrats more,Yes,DK/REF
Male,74,65+,Strong Democrat,,No,Moderate,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Male,32,25-34,Independent,,,Not Very Strong Conservative,Graduate degree,,White,,Neither approve nor disapprove,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,No,No,Help Democrats more,No,No
Female,47,45-54,Not very Strong Republican,No,,Moderate,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,No,Make no Difference,No,Yes
Female,80,65+,Strong Democrat,,No,Moderate,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,No,DK/REF,Help Democrats more,Yes,DK/REF
Female,41,35-44,Independent,,,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Well-informed,Yes,Yes,No,Help Republicans more,Yes,No
Male,85,65+,DK/REF,,,DK/REF,Some college,,Black,,Somewhat Disapprove,Yes,Mandatory,DK/REF,DK/REF,Somewhat Disagree,Well-informed,DK/REF,DK/REF,DK/REF,Help Democrats more,DK/REF,DK/REF
Male,50,45-54,Strong Republican,No,,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,Optional,Yes,Strongly Agree,Somewhat Disagree,Well-informed,Yes,No,No,Help Democrats more,Yes,No
Male,55,55-64,Strong Republican,No,,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Yes,Optional,DK/REF,Strongly Agree,Strongly Agree,Well-informed,Yes,No,No,Help Republicans more,Yes,No
Male,58,55-64,Independent,,,Moderate,High school or less,,Black,,DK/REF,Yes,Mandatory,Yes,Strongly Agree,Strongly Disagree,Well-informed,DK/REF,Yes,Yes,Make no Difference,DK/REF,Yes
Female,74,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,No,Yes,Make no Difference,No,No
Male,35,35-44,Independent,,,Strong Liberal,High school or less,,Latino,,Strongly Approve,No,Mandatory,No,Somewhat Disagree,Strongly Agree,Not Very Well-informed,No,Yes,No,Make no Difference,No,No
Female,53,45-54,Strong Democrat,,No,DK/REF,College degree,,DK/REF,,Strongly Disapprove,Yes,Mandatory,DK/REF,Somewhat Agree,Strongly Disagree,Not Very Well-informed,No,No,DK/REF,DK/REF,DK/REF,Yes
Female,29,25-34,DK/REF,,,DK/REF,Some college,,White,,DK/REF,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
DK/REF,75,65+,DK/REF,,,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Yes,Optional,No,Somewhat Agree,Strongly Agree,Well-informed,DK/REF,Yes,Yes,Make no Difference,DK/REF,No
Female,65,65+,Independent,,,Moderate,Graduate degree,,White,,Strongly Approve,Yes,Optional,Yes,DK/REF,Somewhat Agree,Well-informed,Yes,Yes,No,Make no Difference,Yes,No
Female,49,45-54,Independent,,,Moderate,Some college,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,62,55-64,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,Yes,Yes,No,Help Republicans more,Yes,No
Male,77,65+,Independent,,,Moderate,Some college,,White,,Somewhat Disapprove,Yes,Optional,No,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,66,65+,Strong Democrat,,No,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Disagree,Strongly Disagree,Well-informed,No,No,No,Help Democrats more,Yes,Yes
Male,65,65+,Independent,,,DK/REF,Some college,,White,,Strongly Disapprove,Yes,Optional,DK/REF,Somewhat Agree,DK/REF,Well-informed,No,No,Yes,Make no Difference,No,DK/REF
Male,45,45-54,Independent,,,Moderate,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Male,35,35-44,Independent,,,Moderate,High school or less,,Latino,,Neither approve nor disapprove,Yes,Mandatory,Yes,Strongly Agree,Strongly Agree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,64,55-64,Independent,,,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Disagree,Somewhat Agree,Well-informed,Yes,No,No,Make no Difference,Yes,Yes
Male,41,35-44,Not Very strong Democrat,,No,Moderate,Some college,,Latino,,Strongly Disapprove,Yes,Optional,No,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,73,65+,Strong Democrat,,No,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Disagree,Strongly Disagree,Well-informed,No,No,No,Make no Difference,Yes,No
Male,33,25-34,Strong Republican,Yes,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Somewhat Disagree,Not Very Well-informed,DK/REF,Yes,DK/REF,Help Republicans more,Yes,No
Female,44,35-44,Not very Strong Republican,DK/REF,,DK/REF,College degree,,White,,Somewhat Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,DK/REF
Male,38,35-44,Independent,,,Not Very Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Somewhat Disagree,Not Very Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Male,82,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,No,Yes,Yes,Help Republicans more,Yes,No
Male,61,55-64,Independent,,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,No,No,Make no Difference,No,No
Female,60,55-64,Independent,,,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Female,70,65+,Strong Republican,No,,Strong Conservative,Some college,,Latino,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Well-informed,DK/REF,No,Yes,DK/REF,Yes,No
Female,44,35-44,Strong Democrat,,DK/REF,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,No,DK/REF,Help Democrats more,Yes,Yes
Male,65,65+,Independent,,,Not Very Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,Yes,DK/REF,DK/REF,Yes,No
Female,67,65+,Independent,,,Moderate,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Female,55,55-64,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Well-informed,Yes,Yes,No,Help Republicans more,No,No
Female,50,45-54,Not very Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Strongly Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Female,58,55-64,Strong Democrat,,DK/REF,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Optional,No,Strongly Agree,Strongly Agree,Not Very Well-informed,No,Yes,DK/REF,Make no Difference,Yes,DK/REF
Female,62,55-64,Strong Republican,No,,Not Very Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,Yes,DK/REF,Make no Difference,Yes,DK/REF
Female,58,55-64,Strong Democrat,,No,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,DK/REF,Yes,DK/REF,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
Male,81,65+,Not very Strong Republican,DK/REF,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,No,Yes,No,Help Republicans more,Yes,Yes
Female,64,55-64,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,DK/REF,DK/REF,Help Republicans more,Yes,Yes
Female,80,65+,Strong Democrat,,No,Moderate,High school or less,,White,,DK/REF,Yes,Optional,Yes,Somewhat Agree,Strongly Agree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,No
Female,92,65+,Strong Democrat,,No,Not Very Strong Conservative,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,Yes
Male,84,65+,Strong Republican,No,,Strong Conservative,Graduate degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Help Democrats more,No,No
Male,85,65+,Strong Republican,No,,Moderate,Graduate degree,,White,,Strongly Approve,Yes,Mandatory,DK/REF,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,Yes,No,DK/REF,DK/REF,Yes
Female,73,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,No,Make no Difference,Yes,No
Female,50,45-54,DK/REF,,,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Disagree,Well-informed,Yes,DK/REF,Yes,Make no Difference,Yes,DK/REF
Female,32,25-34,Strong Democrat,,Yes,Strong Liberal,Graduate degree,,Asian,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,DK/REF
Male,75,65+,Independent,,,DK/REF,DK/REF,,White,,Neither approve nor disapprove,DK/REF,Optional,Yes,Somewhat Agree,DK/REF,Not Very Well-informed,No,DK/REF,No,DK/REF,DK/REF,No
Female,57,55-64,Independent,,,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,No
Female,75,65+,Strong Democrat,,No,Strong Liberal,High school or less,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Other,90,65+,Strong Republican,No,,Moderate,High school or less,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Make no Difference,Yes,Yes
Female,40,35-44,Strong Democrat,,No,DK/REF,High school or less,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,DK/REF,No,No,DK/REF,Make no Difference,Yes,No
Male,56,55-64,Independent,,,Moderate,College degree,,Black,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,DK/REF,Well-informed,No,No,No,Help Democrats more,Yes,Yes
Female,70,65+,Strong Republican,No,,Moderate,Some college,,White,,Strongly Approve,Yes,Optional,Yes,Somewhat Agree,DK/REF,Not Very Well-informed,DK/REF,DK/REF,DK/REF,Make no Difference,DK/REF,Yes
Male,33,25-34,Independent,,,DK/REF,College degree,,Other: SPECIFY,Mixed race,Strongly Disapprove,Yes,Optional,No,DK/REF,DK/REF,Well-informed,No,No,No,DK/REF,DK/REF,No
Female,62,55-64,Independent,,,Not Very Strong Conservative,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Disagree,Not Very Well-informed,Yes,Yes,Yes,Help Republicans more,Yes,Yes
Female,70,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,No,Optional,Yes,Somewhat Agree,Somewhat Agree,Well-informed,Yes,Yes,No,DK/REF,No,No
Female,70,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,DK/REF,Strongly Agree,Somewhat Disagree,Well-informed,No,DK/REF,Yes,Make no Difference,No,No
Female,32,25-34,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Male,61,55-64,Strong Republican,No,,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,DK/REF,Strongly Agree,Somewhat Disagree,Well-informed,No,No,DK/REF,Help Democrats more,Yes,No
Female,47,45-54,Independent,,,Strong Conservative,Graduate degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,47,45-54,Strong Republican,No,,Strong Conservative,College degree,,Other: SPECIFY,mixed race,Strongly Approve,Yes,Optional,DK/REF,DK/REF,DK/REF,Well-informed,Yes,No,No,Make no Difference,No,No
Female,56,55-64,Strong Democrat,,No,Strong Liberal,Some college,,Other: SPECIFY,Native American,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,No,No,Help Democrats more,Yes,No
Female,69,65+,Independent,,,Not Very Strong Conservative,Graduate degree,,Latino,,Somewhat Disapprove,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,Yes,DK/REF,Yes,Make no Difference,Yes,Yes
Female,74,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Somewhat Agree,Well-informed,DK/REF,No,No,DK/REF,Yes,No
Male,46,45-54,Strong Republican,No,,DK/REF,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,No,No,Make no Difference,No,No
Female,65,65+,Strong Democrat,,No,Moderate,Some college,,White,,Somewhat Disapprove,Yes,Mandatory,No,Strongly Agree,Somewhat Disagree,Well-informed,No,No,No,Help Democrats more,Yes,No
Female,66,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Mandatory,DK/REF,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,Yes,Make no Difference,Yes,Yes
Female,41,35-44,Strong Republican,Yes,,Strong Conservative,Graduate degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,No,No,No,Make no Difference,Yes,No
Female,48,45-54,Independent,,,Moderate,High school or less,,White,,Neither approve nor disapprove,Yes,Optional,No,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,No,DK/REF,Make no Difference,Yes,No
Female,50,45-54,Independent,,,Moderate,Graduate degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,No,Yes,Make no Difference,DK/REF,Yes
Male,75,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Make no Difference,No,No
Female,20,18-24,Independent,,,Moderate,Some college,,White,,Neither approve nor disapprove,No,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
Female,61,55-64,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Strongly Disagree,Well-informed,No,No,DK/REF,Make no Difference,Yes,Yes
Female,53,45-54,Strong Democrat,,No,Moderate,Other :SPECIFY,MASTER DEGREE,Other: SPECIFY,BRITISH - CAUCASIAN,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,Yes,Yes,Yes,Help Democrats more,Yes,No
Female,34,25-34,Not very Strong Republican,No,,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,No
Male,40,35-44,Strong Democrat,,No,Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Female,76,65+,Independent,,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,DK/REF,Well-informed,No,DK/REF,DK/REF,Help Republicans more,Yes,DK/REF
Female,57,55-64,Strong Republican,No,,Strong Conservative,Graduate degree,,DK/REF,,Strongly Approve,No,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Make no Difference,No,No
Male,67,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,No,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,Yes,Yes,No,Help Republicans more,DK/REF,No
Male,61,55-64,Independent,,,Moderate,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Disagree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Male,47,45-54,Strong Republican,No,,Moderate,Some college,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Not Very Well-informed,No,Yes,DK/REF,Help Democrats more,Yes,No
Male,53,45-54,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,No,Somewhat Agree,Strongly Agree,Not Very Well-informed,No,Yes,No,Make no Difference,No,No
Female,75,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,DK/REF,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,DK/REF,DK/REF,No
Male,36,35-44,Strong Democrat,,No,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Disagree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Male,60,55-64,Strong Democrat,,No,Moderate,Some college,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,Yes,No,Help Democrats more,Yes,No
Male,18,18-24,Not Very strong Democrat,,Yes,Moderate,High school or less,,Latino,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,No
Male,32,25-34,Not Very strong Democrat,,Yes,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Somewhat Agree,Well-informed,No,Yes,No,Help Democrats more,No,No
Female,65,65+,Strong Republican,No,,Moderate,High school or less,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,No,DK/REF,DK/REF,Yes,DK/REF
Female,68,65+,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
Female,68,65+,Strong Democrat,,No,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Well-informed,No,Yes,DK/REF,Help Democrats more,DK/REF,Yes
Female,66,65+,Strong Democrat,,No,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
DK/REF,82,65+,Strong Democrat,,No,DK/REF,High school or less,,Black,,DK/REF,Yes,Mandatory,Yes,DK/REF,Strongly Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,Yes
Male,68,65+,Strong Democrat,,No,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,DK/REF,Yes,Make no Difference,Yes,DK/REF
Female,76,65+,Strong Democrat,,No,Moderate,High school or less,,Black,,Somewhat Disapprove,Yes,Optional,DK/REF,Strongly Agree,DK/REF,Well-informed,DK/REF,Yes,No,Make no Difference,Yes,DK/REF
Male,61,55-64,Strong Republican,No,,Moderate,Graduate degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,Yes,DK/REF,Make no Difference,Yes,Yes
Male,56,55-64,Strong Democrat,,No,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Disagree,Somewhat Agree,Well-informed,No,No,No,Help Democrats more,Yes,No
Female,89,65+,Not Very strong Democrat,,DK/REF,DK/REF,High school or less,,White,,DK/REF,Yes,DK/REF,No,DK/REF,DK/REF,Not Very Well-informed,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Male,47,45-54,Strong Democrat,,No,Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,Yes,Optional,No,Strongly Agree,Strongly Disagree,Well-informed,Yes,Yes,Yes,Make no Difference,Yes,No
Female,84,65+,Independent,,,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,DK/REF,DK/REF,Make no Difference,Yes,No
Female,64,55-64,Strong Republican,DK/REF,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,DK/REF,Well-informed,No,DK/REF,Yes,DK/REF,DK/REF,No
Female,59,55-64,Strong Democrat,,No,Strong Liberal,College degree,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Strongly Agree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Male,55,55-64,DK/REF,,,Moderate,Graduate degree,,White,,Somewhat Disapprove,Yes,Optional,Yes,Somewhat Agree,DK/REF,Well-informed,No,Yes,Yes,Make no Difference,No,Yes
Female,67,65+,Strong Democrat,,No,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Strongly Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Female,78,65+,Strong Democrat,,No,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,Yes,No,No,Help Democrats more,Yes,Yes
Female,71,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,DK/REF,Well-informed,Yes,Yes,Yes,Help Republicans more,Yes,No
Female,85,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,No,DK/REF,Somewhat Agree,DK/REF,Yes,No,No,Make no Difference,No,No
Female,50,45-54,Independent,,,Not Very Strong Liberal,High school or less,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Strongly Disagree,Well-informed,No,Yes,Yes,DK/REF,Yes,No
Male,78,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,DK/REF,Somewhat Agree,Somewhat Agree,Well-informed,Yes,Yes,No,Make no Difference,Yes,No
Female,52,45-54,Strong Democrat,,No,Moderate,Graduate degree,,Black,,Somewhat Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Female,77,65+,Independent,,,DK/REF,High school or less,,White,,Somewhat Approve,DK/REF,Optional,DK/REF,Strongly Agree,DK/REF,Not Very Well-informed,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Male,38,35-44,Independent,,,Moderate,Some college,,White,,Strongly Disapprove,Yes,Optional,No,Somewhat Disagree,Somewhat Agree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Female,67,65+,Independent,,,Not Very Strong Conservative,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Not Very Well-informed,No,No,Yes,DK/REF,DK/REF,DK/REF
Male,61,55-64,Strong Republican,No,,Moderate,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Disagree,Strongly Disagree,Not Very Well-informed,No,Yes,No,Make no Difference,Yes,No
Male,39,35-44,Strong Democrat,,Yes,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,No,No,Make no Difference,Yes,No
Male,75,65+,Independent,,,Moderate,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,No,No,Make no Difference,Yes,No
Female,74,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Somewhat Approve,Yes,Optional,Yes,Somewhat Disagree,DK/REF,Well-informed,No,Yes,No,Make no Difference,Yes,No
Female,66,65+,Strong Republican,Yes,,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,No,DK/REF,Make no Difference,Yes,Yes
Male,85,65+,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Mandatory,No,DK/REF,Somewhat Disagree,Well-informed,No,No,DK/REF,Help Democrats more,Yes,DK/REF
Female,50,45-54,Strong Republican,No,,Moderate,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,65,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,Yes,No,Help Democrats more,No,Yes
Male,89,65+,Strong Democrat,,No,Strong Liberal,College degree,,DK/REF,,Strongly Disapprove,Yes,Optional,No,Strongly Disagree,Strongly Disagree,Well-informed,No,No,Yes,Help Democrats more,No,Yes
