Q1: What gender do you identify with? ,Q2: What is your age? ,Q2: Age range,"Q3: In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Q4: Would you say you are liberal, conservative, or moderate?",Q5: What is your highest level of education? ,Q5: Other ,Q6: What is your race?,Q6: Other ,"Q7: Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Q8: Do you have a Twitter account? ,Q8A: How often do you go on Twitter?,Q8B: Have you ever tweeted at the President? ,Q9: Do you believe that Russia interfered with the 2016 Presidential Election? ,Q10: Would you support military action against Russia in response to their interference with the 2016 Presidential Election? ,Q11: Did you support the 2003 Iraq War?,Q12: How likely is it that the United States will be invaded by a foreign power in the next decade?,Q13: Do you believe that the United States has the right to help overthrow governments that are hostile to American interests? ,Q14: Do you believe that the United States has interfered with the democratic elections of other nations in the past?,Q15: Some commentators have suggested that the Parkland school shooting was staged in order to get guns banned in America. Do you believe that the shooting was staged and that the survivors were paid actors?,"Q16: Do you believe that there is a ""deep state"" in America that is conspiring to undermine the Trump Presidency? ","Q17: Which type of news sources do you think produces more fake news: conservative news sources, liberal news sources, or both equally? ",Q18: What is more important to you when deciding whether something is true: science or common sense? ,Q19: Do you believe that the Russians posess a videotape containing footage of Donald Trump watching prostitutes urinating in front of him? ,"Q20: If you had to guess, what percentage of the country is currently under Sharia law?",Q20: DK/REF,"Q21: Do you believe that professional wrestling, like the WWE, is real or staged? ",Q22: Do you believe that the Earth is flat? 
Male,35,35-44,Republican,Not Very Strong conservative,Graduate degree,,White,,Strongly Approve,Yes,Once a month,No,Yes,No,No,Not at all likely,No,Yes,No,Yes,Both Equally,Science,No,0,,Staged,No
Female,69,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Somewhat Likely,Yes,No,No,No,Conservative News Sources,Science,No,,DK/REF,Staged,No
Female,70,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Both Equally,DK/REF,Yes,,DK/REF,Staged,No
Female,40,35-44,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,DK/REF,DK/REF,No,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,No
Male,53,45-54,Independent,Moderate,High school or less,,Latino,,Strongly Approve,No,,,Yes,No,No,Not at all likely,No,Yes,Yes,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,Yes
Male,40,35-44,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Science,No,0,,Staged,No
Male,50,45-54,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,Yes,0,,Staged,No
Female,71,65+,Republican,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,Yes,No,Yes,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,Yes
Female,68,65+,DK/REF,DK/REF,High school or less,,DK/REF,,Strongly Disapprove,No,,,DK/REF,,No,DK/ REF,No,DK/REF,DK/REF,DK/REF,DK/REF,Common Sense,Yes,,DK/REF,DK/REF,DK/REF
Female,63,55-64,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Very Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,40,,Staged,No
Male,76,65+,Independent,Not Very Strong conservative,College degree,,White,,Strongly Approve,Yes,Once a week,No,No,,Yes,Somewhat Likely,No,Yes,No,Yes,Both Equally,Common Sense,No,10,,Staged,No
Female,51,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Once a month,No,No,,Yes,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Science,No,10,,Staged,No
Female,61,55-64,Republican,Moderate,Some college,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,Yes,No,Yes,DK/REF,Common Sense,No,,DK/REF,Staged,No
Female,69,65+,Republican,DK/REF,Some college,,White,,Strongly Approve,No,,,DK/REF,,No,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,10,,Staged,Yes
Male,69,65+,Republican,Strong Conservative,Some college,,White,,Somewhat Approve,No,,,No,,Yes,DK/ REF,DK/REF,No,No,No,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,DK/REF
Female,47,45-54,Independent,Strong Conservative,College degree,,DK/REF,,Strongly Approve,No,,,No,,DK/REF,Not at all likely,DK/REF,Yes,No,Yes,Liberal News Sources,Common Sense,No,0,,Staged,No
Male,74,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,DK/REF,No,0,,Staged,No
Female,74,65+,Independent,Not Very Strong conservative,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,24,18-24,Republican,Strong Liberal,College degree,,Other,Latino and Asian,Neither approve nor disapprove,Yes,Or several times a day?,No,No,,Yes,Not at all likely,Yes,No,No,Yes,Both Equally,Science,No,69,,Staged,Yes
Female,70,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,77,65+,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,No,,,DK/REF,,No,Somewhat Likely,No,Yes,Yes,Yes,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Male,75,65+,Republican,DK/REF,Some college,,White,,Strongly Disapprove,No,,,No,,Yes,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,DK/REF,No
Female,70,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,DK/REF,,No,Somewhat Likely,Yes,No,DK/REF,Yes,DK/REF,Common Sense,No,,DK/REF,DK/REF,No
Male,54,45-54,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Very Likely,No,Yes,No,No,Conservative News Sources,Science,Yes,5,,Staged,No
Male,91,65+,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,No,No,Yes,Liberal News Sources,Common Sense,No,0,,DK/REF,No
Male,72,65+,Democrat,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,No,,,DK/REF,,DK/REF,Not at all likely,DK/REF,No,No,No,Both Equally,Common Sense,No,20,,Staged,No
Male,40,35-44,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Once a month,No,DK/REF,,No,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Science,No,1,,Staged,No
Female,65,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,DK/REF,No,Yes,Liberal News Sources,DK/REF,No,,DK/REF,DK/REF,No
Other,55,55-64,Independent,Moderate,College degree,,Other,Black-Native American-White,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Somewhat Likely,No,Yes,No,Yes,Conservative News Sources,Science,Yes,,DK/REF,Staged,Yes
Female,50,45-54,Independent,Moderate,Some college,,White,,Somewhat Approve,No,,,No,,No,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,No,70,,Staged,No
Female,20,18-24,Independent,Moderate,College degree,,Black,,Strongly Approve,No,,,No,,No,Very Likely,No,No,Yes,Yes,Both Equally,DK/REF,Yes,,DK/REF,Staged,No
Male,20,18-24,Independent,DK/REF,Some college,,Other,SLAVIC,Somewhat Approve,Yes,Once a month,No,No,,No,Not at all likely,No,Yes,No,Yes,Both Equally,Science,DK/REF,0,,Staged,No
Male,80,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,DK/REF
Female,48,45-54,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,No,,,DK/REF,,DK/REF,Somewhat Likely,Yes,Yes,No,No,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Male,71,65+,Independent,Not very Strong Liberal,High school or less,,White,,Somewhat Approve,No,,,Yes,No,Yes,Somewhat Likely,No,Yes,No,No,Both Equally,DK/REF,Yes,,DK/REF,Staged,No
Male,47,45-54,Republican,Moderate,Some college,,White,,Neither approve nor disapprove,No,,,No,,DK/REF,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,0,,Staged,No
Female,42,35-44,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Once a week,No,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Science,No,2,,Staged,No
Male,78,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,DK/ REF,,,Yes,No,No,Not at all likely,No,DK/REF,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Male,25,25-34,Democrat,Not very Strong Liberal,Graduate degree,,Asian,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,Yes,No,No,No,Conservative News Sources,DK/REF,Yes,,DK/REF,Staged,No
Male,21,18-24,Independent,Moderate,Some college,,White,,Somewhat Disapprove,Yes,Or several times a day?,No,No,,No,Somewhat Likely,No,Yes,No,No,Both Equally,Science,No,20,,Staged,No
Male,47,45-54,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,No,,,DK/REF,,No,Not at all likely,No,Yes,No,DK/REF,DK/REF,Science,DK/REF,,DK/REF,DK/REF,No
Male,65,65+,Independent,Moderate,College degree,,Asian,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,Conservative News Sources,Science,DK/REF,,DK/REF,Staged,No
Male,48,45-54,Republican,Moderate,Some college,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Both Equally,Science,No,,DK/REF,Staged,No
Female,61,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,DK/REF,,DK/REF,Not at all likely,No,Yes,No,No,Both Equally,DK/REF,No,,DK/REF,Staged,No
Female,32,25-34,Independent,Moderate,Some college,,White,,Somewhat Disapprove,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,No,Both Equally,Common Sense,Yes,3,,Staged,No
Male,20,18-24,Democrat,Not very Strong Liberal,High school or less,,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,No,90,,Staged,No
Male,30,25-34,Independent,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,No,,,No,,Yes,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,No,50,,Staged,No
Female,63,55-64,Republican,Not Very Strong conservative,Some college,,Asian,,Somewhat Disapprove,No,,,Yes,Yes,No,Not at all likely,No,Yes,No,Yes,Both Equally,Common Sense,No,60,,DK/REF,DK/REF
Male,65,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,No,No,No,Liberal News Sources,Science,Yes,,DK/REF,Staged,No
Male,46,45-54,Republican,Strong Conservative,High school or less,,White,,Neither approve nor disapprove,No,,,Yes,No,Yes,Not at all likely,Yes,Yes,No,Yes,Both Equally,Common Sense,No,1,,Staged,Yes
Male,79,65+,Republican,Strong Conservative,Graduate degree,,Latino,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,No,5,,DK/REF,No
Female,31,25-34,Independent,Moderate,College degree,,Asian,,Somewhat Approve,No,,,No,,No,Somewhat Likely,Yes,No,Yes,No,Both Equally,Common Sense,No,,DK/REF,Real,No
Female,19,18-24,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Or several times a day?,No,DK/REF,,DK/REF,DK/ REF,No,DK/REF,No,No,Conservative News Sources,DK/REF,DK/REF,,DK/REF,Staged,No
Male,79,65+,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,DK/REF,No,No,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,No
Male,54,45-54,Independent,Not Very Strong conservative,College degree,,White,,Strongly Approve,No,,,No,,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Common Sense,No,20,,Staged,No
Male,26,25-34,Independent,Moderate,High school or less,,Other,Native American,Strongly Approve,No,,,No,,DK/REF,Very Likely,No,No,Yes,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,Yes
Female,29,25-34,Independent,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,Yes,Or several times a day?,No,DK/REF,,No,DK/ REF,Yes,No,No,DK/REF,Both Equally,Common Sense,No,54,,DK/REF,No
Male,60,55-64,Democrat,Not Very Strong conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Science,No,0,,Staged,No
Female,35,35-44,Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,No,,,DK/REF,,Yes,Not at all likely,Yes,No,No,No,Both Equally,Science,No,2,,Staged,No
Male,50,45-54,Democrat,Not very Strong Liberal,College degree,,White,,Somewhat Approve,No,,,DK/REF,,No,Not at all likely,No,No,No,No,Both Equally,Science,DK/REF,2,,Staged,No
Male,56,55-64,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,DK/REF,,Yes,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,34,25-34,Independent,Not Very Strong conservative,High school or less,,White,,Neither approve nor disapprove,No,,,No,,No,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,Yes,50,,Staged,No
Male,71,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,No,,,DK/REF,,No,DK/ REF,Yes,Yes,No,No,Both Equally,DK/REF,DK/REF,,DK/REF,Staged,No
Male,68,65+,Independent,Moderate,Graduate degree,,White,,Strongly Approve,No,,,Yes,No,No,Not at all likely,Yes,No,No,No,Both Equally,Science,No,0,,Staged,No
Male,65,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,,DK/REF,Staged,No
Male,32,25-34,DK/REF,DK/REF,Some college,,White,,DK/REF,No,,,DK/REF,,No,Not at all likely,No,DK/REF,No,DK/REF,Both Equally,DK/REF,DK/REF,20,,DK/REF,No
Other,69,65+,Republican,Moderate,College degree,,White,,Strongly Approve,No,,,DK/REF,,DK/REF,Somewhat Likely,DK/REF,Yes,DK/REF,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,28,25-34,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,DK/REF,Yes,No,No,DK/REF,Science,DK/REF,,DK/REF,Staged,No
Male,58,55-64,Democrat,Not Very Strong conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,No,Not at all likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,50,45-54,Republican,Not Very Strong conservative,Graduate degree,,White,,Strongly Approve,No,,,DK/REF,,Yes,Not at all likely,DK/REF,Yes,No,Yes,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Female,75,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,Yes,1,,DK/REF,No
Female,56,55-64,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a week,No,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,No,,DK/REF,Staged,No
Female,37,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,Yes,No,No,Conservative News Sources,Science,No,40,,Staged,No
Male,40,35-44,Independent,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,No,20,,Staged,No
Male,29,25-34,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Or several times a day?,Yes,Yes,No,No,Not at all likely,Yes,No,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Female,25,25-34,Independent,Moderate,High school or less,,White,,Somewhat Approve,No,,,DK/REF,,Yes,Somewhat Likely,No,No,No,DK/REF,Both Equally,Common Sense,No,30,,Staged,No
Male,50,45-54,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,DK/REF,,No,Not at all likely,No,DK/REF,No,No,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Male,73,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Science,No,1,,Staged,No
Male,52,45-54,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,Yes,Yes,No,Yes,Both Equally,Science,No,1,,Staged,No
Male,56,55-64,Independent,Moderate,Graduate degree,,White,,DK/REF,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,Yes,Both Equally,Science,DK/REF,2,,Staged,No
Male,25,25-34,DK/REF,DK/REF,Graduate degree,,Asian,,DK/REF,Yes,Once a day,Yes,DK/REF,,DK/REF,DK/ REF,Yes,DK/REF,No,DK/REF,Both Equally,Common Sense,DK/REF,,DK/REF,DK/REF,No
Male,66,65+,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,,DK/REF,DK/REF,No
Female,38,35-44,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Somewhat Likely,No,No,No,No,Conservative News Sources,Science,Yes,,DK/REF,Staged,No
Female,38,35-44,Republican,Strong Conservative,Graduate degree,,Latino,,Neither approve nor disapprove,No,,,Yes,No,Yes,Not at all likely,No,Yes,No,Yes,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Female,54,45-54,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,No,,,Yes,No,Yes,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Female,35,35-44,Independent,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,Yes,Both Equally,Science,Yes,3,,Staged,No
Female,40,35-44,Independent,Moderate,College degree,,White,,Somewhat Approve,Yes,Once a day,No,No,,DK/REF,DK/ REF,Yes,DK/REF,DK/REF,Yes,Liberal News Sources,DK/REF,DK/REF,,DK/REF,Staged,DK/REF
Male,65,65+,Independent,Moderate,College degree,,White,,Somewhat Approve,No,,,DK/REF,,No,Very Likely,Yes,DK/REF,No,Yes,DK/REF,Science,Yes,10,,Staged,No
Female,42,35-44,Republican,Not Very Strong conservative,College degree,,White,,Somewhat Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,No,No,Both Equally,Common Sense,No,3,,Staged,No
Male,25,25-34,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Or several times a day?,No,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,No,1,,Staged,No
Female,65,65+,Independent,Moderate,College degree,,White,,DK/REF,Yes,Once a week,No,Yes,No,No,Somewhat Likely,DK/REF,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Male,28,25-34,Independent,Strong Liberal,College degree,,DK/REF,,Strongly Approve,Yes,Once a month,No,DK/REF,,Yes,DK/ REF,Yes,Yes,No,Yes,Both Equally,Common Sense,Yes,2,,Real,No
Male,40,35-44,DK/REF,Moderate,Graduate degree,,Asian,,DK/REF,No,,,No,,No,Not at all likely,Yes,DK/REF,No,Yes,Both Equally,Science,No,10,,Staged,No
Male,72,65+,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,Both Equally,DK/REF,No,0,,Staged,No
Male,48,45-54,Republican,Moderate,College degree,,White,,Somewhat Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Science,Yes,20,,Staged,No
Male,64,55-64,DK/REF,Strong Conservative,High school or less,,Black,,Neither approve nor disapprove,No,,,DK/REF,,No,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,Staged,No
Female,33,25-34,Democrat,Not very Strong Liberal,College degree,,Black,,DK/REF,No,,,Yes,No,No,DK/ REF,No,Yes,No,No,Both Equally,DK/REF,DK/REF,,DK/REF,Staged,No
Male,61,55-64,Democrat,Strong Conservative,Some college,,Black,,Strongly Disapprove,No,,,Yes,No,Yes,Very Likely,Yes,Yes,No,No,Conservative News Sources,Science,Yes,45,,Staged,No
Male,42,35-44,Democrat,Not Very Strong conservative,Some college,,Black,,Strongly Approve,No,,,No,,No,Not at all likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,25,25-34,Democrat,Strong Liberal,College degree,,Latino,,Neither approve nor disapprove,No,,,No,,No,Not at all likely,No,Yes,No,Yes,Both Equally,Science,No,,DK/REF,Staged,No
Female,83,65+,Independent,Moderate,High school or less,,White,,Somewhat Approve,No,,,No,,DK/REF,Somewhat Likely,No,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,39,35-44,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Once a day,No,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Female,53,45-54,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Yes,DK/REF,No,No,,No,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,51,45-54,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,DK/REF,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,50,45-54,Democrat,Moderate,Other,Diploma,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,No,No,Yes,Both Equally,Science,Yes,,DK/REF,Staged,No
Female,83,65+,Democrat,DK/REF,College degree,,Black,,Strongly Disapprove,No,,,Yes,DK/REF,DK/REF,Very Likely,Yes,Yes,DK/REF,No,Both Equally,Common Sense,DK/REF,,DK/REF,DK/REF,DK/REF
Female,82,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,DK/ REF,,,Yes,No,No,Very Likely,No,No,Yes,No,Both Equally,Common Sense,Yes,30,,Staged,No
Female,66,65+,Independent,Moderate,High school or less,,White,,Neither approve nor disapprove,No,,,Yes,No,No,Somewhat Likely,No,No,No,Yes,Both Equally,Science,DK/REF,0,,Staged,No
Female,85,65+,DK/REF,Moderate,High school or less,,White,,DK/REF,No,,,No,,No,Not at all likely,No,Yes,No,No,DK/REF,Common Sense,No,,DK/REF,Staged,No
Female,68,65+,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,No,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,55,55-64,Democrat,Strong Conservative,Some college,,Latino,,Strongly Approve,No,,,No,,No,DK/ REF,Yes,Yes,No,Yes,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Male,73,65+,Independent,DK/REF,Some college,,White,,DK/REF,No,,,Yes,Yes,No,Not at all likely,No,Yes,No,Yes,Both Equally,Common Sense,No,,DK/REF,DK/REF,DK/REF
Male,65,65+,Independent,Moderate,High school or less,,Black,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,No,No,No,Yes,Both Equally,Common Sense,Yes,5,,Staged,No
Male,82,65+,Democrat,Not very Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,No,,,Yes,No,DK/REF,Not at all likely,No,No,No,No,Both Equally,DK/REF,DK/REF,,DK/REF,DK/REF,No
Female,65,65+,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Once a week,Yes,Yes,No,No,Not at all likely,Yes,No,No,No,Liberal News Sources,Common Sense,Yes,0,,Staged,No
Female,74,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Somewhat Likely,DK/REF,DK/REF,No,Yes,Liberal News Sources,Common Sense,No,20,,Staged,No
Male,75,65+,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,DK/REF,No,Not at all likely,No,Yes,DK/REF,No,Conservative News Sources,Science,DK/REF,1,,Staged,No
Male,47,45-54,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Yes,DK/REF,No,No,,No,Not at all likely,No,DK/REF,No,No,DK/REF,Common Sense,DK/REF,1,,Staged,No
Female,67,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,No,,,Yes,Yes,No,DK/ REF,Yes,No,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,76,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,0,,Staged,No
Male,35,35-44,Democrat,Moderate,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,No,No,No,Conservative News Sources,Science,No,15,,Staged,No
Female,87,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,No,Not at all likely,No,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,70,65+,Democrat,Not Very Strong conservative,Some college,,White,,DK/REF,No,,,Yes,No,Yes,Not at all likely,Yes,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,73,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,,DK/REF,Staged,No
Female,74,65+,Democrat,Strong Liberal,Graduate degree,,White,,Somewhat Approve,Yes,Or several times a day?,No,DK/REF,,DK/REF,Not at all likely,DK/REF,No,DK/REF,No,DK/REF,Common Sense,No,,DK/REF,Staged,No
Male,60,55-64,Republican,Strong Conservative,College degree,,White,,DK/REF,No,,,No,,No,Not at all likely,No,Yes,Yes,Yes,Both Equally,Common Sense,No,5,,Staged,DK/REF
Female,57,55-64,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,47,45-54,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,DK/REF,1,,Staged,No
Male,62,55-64,Republican,DK/REF,Graduate degree,,White,,Neither approve nor disapprove,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Both Equally,DK/REF,No,,DK/REF,Staged,DK/REF
Female,36,35-44,Democrat,Moderate,College degree,,Latino,,Strongly Disapprove,No,,,No,,No,Very Likely,Yes,Yes,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,71,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,DK/REF,Very Likely,Yes,No,DK/REF,Yes,Liberal News Sources,Common Sense,No,4,,Staged,No
Female,50,45-54,Independent,DK/REF,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,Yes,Both Equally,Common Sense,Yes,25,,Staged,No
Female,50,45-54,DK/REF,DK/REF,Graduate degree,,Latino,,Somewhat Disapprove,No,,,DK/REF,,DK/REF,DK/ REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Yes,,DK/REF,Staged,DK/REF
