State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
NJ,65,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Don't Know/Refused,No,Don't Know/Refused,Yes,No,Yes,Don't Know/Refused,Don't Know/Refused,Yes
NC,66,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
OH,60,Male,55-64,Strong Republican,Strong Liberal,Graduate degree,,Latino,,Somewhat Approve,More trusting,Strongly Disagree,No,No,Lack of effort,Yes,Yes,No,Yes,Yes,Small Town,Lack of effort,No
SC,74,Female,65+,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Circumstances beyond their control,No
IA,63,Male,55-64,Not very Strong Republican,Strong Conservative,Some college,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,No,Don't Know/Refused,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,No
LA,71,Male,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
PA,75,Female,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,No
WI,57,Male,55-64,Strong Republican,Moderate,High school or less,,Other,"White, German, American Indian",Neither Approve nor Disapprove,More trusting,Strongly Disagree,Yes,Yes,Circumstances beyond their control,No,No,Yes,Yes,No,Small Town,Circumstances beyond their control,No
MS,74,Male,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
OH,70,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Don't Know/Refused,Yes
PA,50,Male,45-54,Strong Republican,Moderate,College degree,,Other,"Russian, Slovak American",Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
NY,48,Female,45-54,Not very Strong Republican,Don't Know/Refused,Graduate degree,,White,,Don't Know/Refused,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Don't Know/Refused,No,Yes,Small Town,Circumstances beyond their control,No
NY,51,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,No,Yes,Yes,Small Town,Lack of effort,Yes
MD,46,Male,45-54,Strong Republican,Moderate,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,No,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
FL,67,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,Other,Native American,Strongly Approve,More suspicious,Strongly Disagree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,Don't Know/Refused,Lack of effort,Yes
IL,52,Male,45-54,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
KS,60,Female,55-64,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
TN,65,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Disagree,Yes,Yes,Lack of effort,Yes,No,No,No,Yes,Small Town,Don't Know/Refused,Yes
OH,21,Male,18-24,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Don't Know/Refused,Circumstances beyond their control,Yes
WV,79,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Don't Know/Refused,No,Don't Know/Refused,No,No,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Circumstances beyond their control,Yes
IN,69,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,No,No,Yes,Small Town,Circumstances beyond their control,Yes
SC,50,Female,45-54,Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,No,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,No
OH,59,Female,55-64,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,City,Don't Know/Refused,Don't Know/Refused
TN,60,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
FL,66,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,City,Circumstances beyond their control,No
FL,42,Male,35-44,Not very Strong Republican,Moderate,Some college,,Other,Hispanic,Somewhat Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,No,Yes,No,No,No,Suburb,Don't Know/Refused,Don't Know/Refused
IA,41,Male,35-44,Not very Strong Republican,Not very strong Liberal,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,No,Yes,No,City,Don't Know/Refused,No
FL,27,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Don't Know/Refused,Don't Know/Refused,Lack of effort,No,Don't Know/Refused,Don't Know/Refused,No,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused
NJ,28,Male,25-34,Strong Republican,Strong Conservative,Some college,,Black,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,No,Yes,No,Small Town,Lack of effort,No
FL,38,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Lack of effort,No,Yes,Yes,No,Yes,City,Lack of effort,Yes
NY,37,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,Yes,No,Suburb,Lack of effort,Yes
PA,18,Male,18-24,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,Yes,No,No,Suburb,Lack of effort,Yes
MD,37,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,No,Yes,No,Small Town,Don't Know/Refused,Don't Know/Refused
NY,46,Male,45-54,Strong Republican,Strong Conservative,Some college,,Asian,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,No,City,Circumstances beyond their control,Don't Know/Refused
PA,41,Male,35-44,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,No,No,No,No,City,Don't Know/Refused,Yes
KY,26,Male,25-34,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Don't Know/Refused,No,Yes,No,Suburb,Circumstances beyond their control,No
MD,44,Male,35-44,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
NY,34,Male,25-34,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,Yes,No,Suburb,Circumstances beyond their control,Yes
NY,31,Male,25-34,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,No,Suburb,Circumstances beyond their control,Yes
PA,40,Female,35-44,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Suburb,Circumstances beyond their control,No
NY,23,Male,18-24,Strong Republican,Not Very Strong Conservative,Some college,,Asian,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
FL,39,Female,35-44,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
OK,32,Male,25-34,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
PA,29,Male,25-34,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,No,Small Town,Don't Know/Refused,Yes
FL,31,Male,25-34,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
UT,42,Male,35-44,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,No
KY,54,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Disapprove,More trusting,Somewhat Agree,No,Yes,Circumstances beyond their control,Yes,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
KS,39,Male,35-44,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,No
MA,29,Male,25-34,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,No,City,Lack of effort,Yes
FL,42,Male,35-44,Strong Republican,Strong Conservative,Other,Technical School,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,Yes,City,Don't Know/Refused,No
PA,30,Male,25-34,Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Yes,Yes,Yes,Yes,Suburb,Lack of effort,Yes
PA,44,Male,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,No,Suburb,Circumstances beyond their control,No
NE,58,Female,55-64,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,Don't Know/Refused,Yes,City,Don't Know/Refused,Don't Know/Refused
IL,49,Male,45-54,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,No,No,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused
RI,81,Female,65+,Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
PA,65,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,No,Lack of effort,Don't Know/Refused,No,Yes,No,No,Don't Know/Refused,Lack of effort,Don't Know/Refused
NE,71,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
IN,79,Female,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
TN,64,Male,55-64,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Don't Know/Refused,Yes,No,No,No,Yes,Small Town,Circumstances beyond their control,Yes
OH,55,Female,55-64,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
TX,57,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Don't Know/Refused,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
PA,55,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
AR,76,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Small Town,Lack of effort,Don't Know/Refused
WV,67,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Don't Know/Refused,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
SC,84,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,No
NY,50,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Don't Know/Refused,Yes,Don't Know/Refused,Yes,No,No,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
MS,88,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Neither Approve nor Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,No,City,Circumstances beyond their control,No
TX,79,Female,65+,Not very Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
AL,65,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
FL,69,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,Yes,Yes,City,Lack of effort,Don't Know/Refused
OK,94,Male,65+,Not very Strong Republican,Moderate,Graduate degree,,Black,,Strongly Disapprove,More trusting,Somewhat Disagree,No,Yes,Lack of effort,No,Yes,No,Yes,No,Small Town,Circumstances beyond their control,No
NE,68,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,No,No,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
MD,89,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More trusting,Somewhat Agree,No,Yes,Don't Know/Refused,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Suburb,Don't Know/Refused,Yes
PA,88,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Somewhat Agree,No,No,Circumstances beyond their control,No,Yes,No,No,Yes,City,Lack of effort,No
NY,59,Female,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,No,City,Lack of effort,No
NY,52,Female,45-54,Strong Republican,Not very strong Liberal,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
NC,64,Male,55-64,Strong Republican,Don't Know/Refused,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Don't Know/Refused,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
