Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Female,33,25-34,Democrat,Liberal,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Liberals,Dump,,Oppose,Very Likely,DK/REF,TRUE,3,No,280,Too low,Yes,No,
Female,69,65+,Republican,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-life,DK/REF,President,,Support,DK/REF,Stayed the same,DK/REF,3,DK/REF,225,Accurate,Yes,DK/REF,
Male,30,25-34,DK/REF,DK/REF,High school or less,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unfair,,Support,DK/REF,Gone down,DK/REF,999,No,230,Accurate,Yes,No,
Male,21,18-24,Independent,DK/REF,High school or less,,Latino,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Rich President,,Oppose,Very Likely,DK/REF,FALSE,3,No,240,Too high,No,No,
Female,68,65+,Independent,Moderate,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Outgoing,,Support,Not at all likely,Gone down,FALSE,3,No,230,Accurate,No,Yes,No
Female,47,45-54,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Abomination,,Oppose,Very Likely,Gone up,FALSE,3,No,320,Too low,DK/REF,No,
Male,44,35-44,Independent,Liberal,Some college,,Black,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Entrepreneur,,Support,Somewhat Likely,Gone down,TRUE,2,No,220,Too high,Yes,No,
Female,30,25-34,Democrat,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Incompetent,,Oppose,Somewhat Likely,Gone up,FALSE,3,No,280,Accurate,Yes,No,
Male,28,25-34,Independent,Moderate,College degree,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Businessman,,Oppose,Somewhat Likely,Stayed the same,TRUE,2,No,260,Accurate,DK/REF,No,
Male,19,18-24,DK/REF,DK/REF,High school or less,,Latino,,Neither approve nor disapprove,DK/REF,Mix of conservatives and liberals,Hotdog,,Oppose,Not at all likely,Stayed the same,DK/REF,1,No,210,Too high,Yes,DK/REF,
Male,31,25-34,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Stubborn,,Oppose,Very Likely,Gone down,FALSE,3,No,260,Too low,Yes,No,
Male,44,35-44,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Heir,,Support,Somewhat Likely,Stayed the same,FALSE,3,No,230,Accurate,DK/REF,DK/REF,
Male,31,25-34,Republican,Moderate,Some college,,White,,Strongly Approve,Pro-Choice,Mostly Liberals,Strong,,Support,Not at all likely,Gone down,DK/REF,999,DK/REF,999,Accurate,Yes,Yes,DK/REF
Male,57,55-64,Democrat,Moderate,Graduate degree,,Asian,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Incompetent,,Oppose,Very Likely,Gone up,TRUE,4,No,300,Too low,Yes,No,
Male,58,55-64,Democrat,DK/REF,High school or less,,Black,,DK/REF,DK/REF,DK/REF,He is doing the things he likes.,,Oppose,DK/REF,Gone up,FALSE,999,No,999,DK/REF,DK/REF,No,
Female,38,35-44,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Unfit,,Oppose,Very Likely,Gone down,DK/REF,3,No,300,Accurate,No,No,
Female,71,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Stupid,,Oppose,Very Likely,Gone up,FALSE,2,No,230,Accurate,Yes,No,
Female,40,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Leader,,Support,Not at all likely,Gone down,TRUE,2,No,270,Accurate,No,Yes,No
Male,80,65+,Democrat,Conservative,High school or less,,Black,,DK/REF,Pro-Choice,Mostly Liberals,,DK/REF,Oppose,Not at all likely,Stayed the same,FALSE,999,Yes,999,Too high,No,No,
Female,77,65+,Independent,Conservative,Graduate degree,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,An uneducated asshole,,Oppose,Very Likely,Gone down,TRUE,3,No,353,Too low,Yes,No,
Female,60,55-64,Democrat,Conservative,High school or less,,White,,Somewhat Disapprove,Pro-life,DK/REF,Idiot,,Oppose,Somewhat Likely,Stayed the same,TRUE,3,No,230,Accurate,Yes,No,
Female,68,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Erratic,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Accurate,Yes,No,
Female,88,65+,Independent,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,FALSE,2,No,999,Accurate,DK/REF,DK/REF,
Female,52,45-54,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Tweet,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,215,Accurate,Yes,No,
Male,67,65+,Democrat,Conservative,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Crook,,Oppose,Very Likely,DK/REF,FALSE,3,No,70,Too low,Yes,No,
Male,53,45-54,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Awesome,,Support,Not at all likely,Gone up,DK/REF,999,Yes,205,Too high,No,Yes,Yes
Male,54,45-54,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Ignorant,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,No,
Female,51,45-54,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Incompetent,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Too low,Yes,No,
Female,56,55-64,Independent,Moderate,Some college,,White,,Somewhat Disapprove,Pro-Choice,Mostly Liberals,Disrespect,,Oppose,Somewhat Likely,DK/REF,DK/REF,3,No,185,Accurate,Yes,No,
Female,79,65+,Republican,DK/REF,High school or less,,White,,Neither approve nor disapprove,DK/REF,Mix of conservatives and liberals,,DK/REF,Support,Somewhat Likely,DK/REF,DK/REF,999,DK/REF,190,DK/REF,DK/REF,DK/REF,
Female,54,45-54,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Respect,,Support,Not at all likely,Gone down,DK/REF,3,No,220,Accurate,No,DK/REF,
Female,79,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Wise,,Support,Not at all likely,Gone down,TRUE,2,No,170,Accurate,No,Yes,No
Female,86,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Fake,,Oppose,Very Likely,Stayed the same,FALSE,3,No,240,Accurate,DK/REF,No,
Female,68,65+,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Unpredictable,,Oppose,Very Likely,Gone down,TRUE,999,No,250,Too low,Yes,No,
Female,71,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Crazy,,Oppose,Very Likely,Stayed the same,FALSE,8,No,260,Accurate,Yes,No,
Female,73,65+,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,DK/REF,Scam,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,250,Accurate,Yes,No,
Male,67,65+,Independent,Conservative,High school or less,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Support,Very Likely,Gone down,DK/REF,2,No,239,Accurate,Yes,No,
Male,77,65+,Democrat,DK/REF,High school or less,,Black,,Somewhat Disapprove,Pro-Choice,DK/REF,,DK/REF,Oppose,Somewhat Likely,Stayed the same,DK/REF,999,No,300,Too low,Yes,No,
Female,94,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,DK/REF,DK/REF,Trying to do right,,DK/REF,Not at all likely,DK/REF,DK/REF,999,DK/REF,999,DK/REF,No,Yes,Yes
Female,35,35-44,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Asshole,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,230,Accurate,Yes,No,
Male,32,25-34,Republican,Conservative,Graduate degree,,Latino,,Strongly Approve,Pro-life,Mostly Liberals,Strength,,Support,Not at all likely,Gone down,FALSE,2,No,265,Accurate,Yes,Yes,DK/REF
Male,41,35-44,DK/REF,Conservative,High school or less,,DK/REF,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,DK/REF,Gone down,DK/REF,999,No,280,Accurate,No,No,
Male,29,25-34,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,America,,Support,Somewhat Likely,Gone down,FALSE,3,Yes,210,Too high,Yes,Yes,No
Male,21,18-24,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Wall,,Oppose,Very Likely,Stayed the same,DK/REF,2,No,160,Too high,Yes,No,
Male,62,55-64,Republican,Moderate,Graduate degree,,White,,DK/REF,Pro-life,Mix of conservatives and liberals,,DK/REF,Support,DK/REF,Gone up,DK/REF,3,No,25,DK/REF,DK/REF,DK/REF,
Male,26,25-34,Independent,DK/REF,College degree,,Latino,,Somewhat Disapprove,Pro-life,Mostly Conservatives,Inadequate,,Oppose,DK/REF,DK/REF,DK/REF,3,No,220,Accurate,Yes,No,
Male,43,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Horrible,,Oppose,Very Likely,Gone down,FALSE,999,No,280,Accurate,Yes,No,
Male,44,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Unpleasant,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,240,Too low,Yes,No,
Male,40,35-44,Republican,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,A real president,,Support,Not at all likely,Gone down,FALSE,2,No,220,Accurate,Yes,Yes,No
Male,34,25-34,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Strong,,Support,Not at all likely,Gone down,FALSE,3,No,250,Accurate,Yes,Yes,No
Male,34,25-34,Independent,DK/REF,College degree,,White,,Somewhat Approve,Pro-Choice,Mostly Conservatives,Orange,,Support,Very Likely,Gone up,DK/REF,999,No,300,Too high,No,Yes,No
Male,39,35-44,Democrat,Moderate,High school or less,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,None,,Support,Not at all likely,DK/REF,DK/REF,999,No,230,Accurate,DK/REF,Yes,Yes
Male,42,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,He is great.,,Support,Not at all likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,Yes,No
Female,40,35-44,Democrat,Moderate,Some college,,Other,American Indian and African American,Strongly Disapprove,DK/REF,Mostly Conservatives,A big baby,,Oppose,Very Likely,Stayed the same,DK/REF,1,No,225,Accurate,No,No,
Female,33,25-34,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Oppose,Very Likely,DK/REF,FALSE,3,No,260,Too low,DK/REF,No,
Female,82,65+,Republican,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,I don't trust him. I am really disgusted with the way he talks about other people.,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,225,Accurate,Yes,No,
Male,18,18-24,DK/REF,Moderate,High school or less,,Asian,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,President,,Oppose,Somewhat Likely,Stayed the same,FALSE,2,No,215,Accurate,Yes,No,
Male,44,35-44,Independent,Liberal,Graduate degree,,Black,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,President,,DK/REF,Not at all likely,DK/REF,TRUE,999,DK/REF,201,Accurate,Yes,No,
Male,65,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Clown,,Oppose,Very Likely,Gone down,FALSE,3,No,225,Accurate,Yes,No,
Female,59,55-64,Democrat,Liberal,College degree,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,A jerk,,Oppose,Somewhat Likely,Gone down,TRUE,999,No,180,Accurate,Yes,No,
Male,67,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,He is a jerk.,,Oppose,Very Likely,Gone down,FALSE,4,No,200,Too high,Yes,No,
Female,43,35-44,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,,DK/REF,Oppose,Very Likely,Gone down,TRUE,3,No,182,Too low,No,No,
Male,48,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,He is an egomaniac and a liar.,,Oppose,Very Likely,Stayed the same,FALSE,3,No,500,Too low,Yes,No,
Male,74,65+,Republican,Conservative,College degree,,White,,Somewhat Disapprove,Pro-life,Mostly Conservatives,Good president,,Oppose,Somewhat Likely,Stayed the same,FALSE,2,No,210,Accurate,Yes,Yes,No
Male,51,45-54,Independent,Moderate,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Trying,,Support,Not at all likely,Gone down,FALSE,3,No,225,Accurate,Yes,Yes,No
Female,59,55-64,Democrat,DK/REF,High school or less,,White,,Strongly Disapprove,DK/REF,DK/REF,Idiot,,Oppose,Somewhat Likely,DK/REF,DK/REF,999,No,999,DK/REF,DK/REF,No,
Male,74,65+,Democrat,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,President,,Support,Somewhat Likely,Stayed the same,TRUE,999,No,200,Too high,Yes,Yes,Yes
Female,61,55-64,Independent,DK/REF,Graduate degree,,DK/REF,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Abrasive,,Oppose,DK/REF,Gone down,FALSE,3,No,999,DK/REF,Yes,No,
Male,60,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Spoon,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Too low,Yes,No,
Male,53,45-54,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,286,Accurate,Yes,No,
Female,79,65+,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Good guy,,Support,Not at all likely,Gone down,DK/REF,2,Yes,230,Accurate,No,Yes,DK/REF
Female,51,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Pro-life,,Support,Not at all likely,Gone down,TRUE,2,No,190,Too high,DK/REF,Yes,No
Male,55,55-64,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Thief,,Oppose,Very Likely,Stayed the same,FALSE,3,No,280,Too low,Yes,No,
Female,59,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Asshole,,Oppose,Very Likely,Stayed the same,FALSE,3,No,240,Accurate,Yes,No,
Female,80,65+,Republican,Moderate,High school or less,,White,,Somewhat Approve,Pro-Choice,Mostly Conservatives,President,,Support,Somewhat Likely,DK/REF,DK/REF,2,No,200,DK/REF,DK/REF,Yes,DK/REF
Male,40,35-44,DK/REF,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,He is a toilet paper.,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,200,Accurate,Yes,DK/REF,
Male,81,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,He is a bully.,,Oppose,Very Likely,Gone down,FALSE,3,No,238,Too high,Yes,No,
Female,92,65+,Republican,DK/REF,High school or less,,Black,,Strongly Approve,Pro-Choice,Mostly Conservatives,Honest,,Support,Somewhat Likely,Gone up,TRUE,999,No,200,Accurate,No,Yes,No
Female,53,45-54,Independent,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Racist,,Oppose,Very Likely,Gone up,FALSE,3,No,225,Too low,Yes,No,
Male,52,45-54,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,DK/REF,TRUE,3,No,200,Accurate,Yes,No,
Male,47,45-54,Republican,Moderate,Some college,,Other,American Indian,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,Stable,,Support,Somewhat Likely,Stayed the same,FALSE,3,No,250,Too low,No,Yes,No
Female,35,35-44,Democrat,Liberal,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Racist,,Oppose,Very Likely,DK/REF,TRUE,4,No,300,Too low,Yes,No,
Male,62,55-64,Independent,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,He is our president.,,Oppose,Very Likely,Stayed the same,TRUE,2,No,220,Accurate,Yes,No,
Male,22,18-24,Independent,Moderate,Graduate degree,,DK/REF,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Irresponsible and unprofessional,,Oppose,Somewhat Likely,DK/REF,DK/REF,999,No,190,Accurate,Yes,No,
Male,50,45-54,Republican,Moderate,Graduate degree,,White,,DK/REF,Pro-Choice,Mix of conservatives and liberals,Different,,Oppose,Somewhat Likely,Gone down,TRUE,2,No,220,Accurate,Yes,No,
Male,69,65+,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Idiot,,Oppose,Somewhat Likely,Stayed the same,FALSE,5,No,280,Accurate,Yes,No,
Female,51,45-54,Republican,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Unpredictable,,Oppose,Very Likely,Gone down,DK/REF,2,No,220,Too low,Yes,No,
Male,19,18-24,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Irresponsible,,Oppose,Very Likely,Gone down,FALSE,3,No,300,Too low,Yes,No,
Male,50,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Erratic,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Accurate,Yes,No,
Female,85,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Liar,,Oppose,Very Likely,Gone up,DK/REF,3,No,999,Accurate,No,No,
Other,45,45-54,Independent,Conservative,Graduate degree,,Other,West Indian,Strongly Disapprove,Pro-life,Mostly Conservatives,Perfect genius,,Oppose,Very Likely,Gone down,FALSE,3,Yes,250,Accurate,No,Yes,DK/REF
Male,21,18-24,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Smart man,,Support,Somewhat Likely,DK/REF,TRUE,3,Yes,260,Accurate,No,Yes,No
Male,20,18-24,Independent,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Basher,,Oppose,Somewhat Likely,Gone down,FALSE,2,No,250,Too high,No,No,
Male,20,18-24,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Scandals,,Oppose,Somewhat Likely,DK/REF,FALSE,3,No,250,Too low,Yes,No,
Male,50,45-54,Democrat,Conservative,College degree,,Other,American Indian,Strongly Disapprove,Pro-Choice,Mostly Liberals,Impeach,,Oppose,Very Likely,Gone up,TRUE,3,No,175,Too high,Yes,No,
Male,58,55-64,Independent,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-life,Mostly Liberals,Crooked,,Oppose,Somewhat Likely,Gone down,DK/REF,2,No,200,Too high,Yes,No,
Female,48,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,Strong,,Support,Somewhat Likely,Gone down,TRUE,999,No,235,Accurate,Yes,Yes,DK/REF
Female,21,18-24,Democrat,Liberal,Some college,,DK/REF,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Apocalypse,,Oppose,Very Likely,Gone up,TRUE,4,No,200,Accurate,No,No,
Female,55,55-64,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,DK/REF,That would be asshole. He is an idiot.,,Oppose,Very Likely,Stayed the same,TRUE,3,No,220,Accurate,Yes,No,
Female,39,35-44,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Catastrophe,,Oppose,Very Likely,Gone down,DK/REF,2,No,999,Too low,Yes,No,
Female,50,45-54,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Terrible,,Oppose,Very Likely,Gone up,FALSE,3,No,250,Too low,Yes,No,
Female,52,45-54,Republican,Moderate,Some college,,Latino,,Strongly Approve,Pro-life,Mostly Liberals,,DK/REF,DK/REF,Somewhat Likely,Gone up,TRUE,3,No,200,DK/REF,Yes,Yes,DK/REF
Male,71,65+,Democrat,Moderate,Some college,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Rich,,Oppose,Somewhat Likely,Gone down,FALSE,3,No,220,Accurate,Yes,No,
Female,46,45-54,DK/REF,DK/REF,College degree,,Black,,Neither approve nor disapprove,Pro-life,DK/REF,My president,,DK/REF,DK/REF,DK/REF,DK/REF,999,DK/REF,999,DK/REF,DK/REF,DK/REF,
Male,55,55-64,Independent,Moderate,Graduate degree,,White,,Somewhat Approve,DK/REF,Mostly Liberals,Argumentative,,Support,Somewhat Likely,Gone down,FALSE,2,No,250,Accurate,Yes,Yes,No
Male,35,35-44,Independent,Moderate,College degree,,White,,DK/REF,DK/REF,Mix of conservatives and liberals,Truth,,Oppose,DK/REF,DK/REF,DK/REF,2,No,250,Accurate,Yes,No,
Male,71,65+,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,,DK/REF,Support,Somewhat Likely,Gone down,TRUE,3,Yes,999,Accurate,DK/REF,Yes,DK/REF
Male,19,18-24,Republican,Conservative,Some college,,White,,DK/REF,Pro-Choice,Mix of conservatives and liberals,Republican,,Oppose,Somewhat Likely,Gone down,FALSE,2,No,225,Accurate,Yes,No,
Female,46,45-54,Independent,Conservative,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Typical dickhead male,,Oppose,Very Likely,Gone up,DK/REF,999,Yes,240,Accurate,Yes,DK/REF,
Male,51,45-54,Independent,Liberal,High school or less,,Latino,,Neither approve nor disapprove,Pro-life,Mostly Liberals,Crazy,,Oppose,Somewhat Likely,Stayed the same,TRUE,2,Yes,250,Accurate,Yes,No,
Female,41,35-44,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Pig,,Support,Very Likely,Stayed the same,TRUE,2,No,280,Too low,No,No,
Male,26,25-34,Independent,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Crazy,,Oppose,Very Likely,Gone down,FALSE,3,No,230,Accurate,Yes,No,
Male,58,55-64,Independent,DK/REF,Graduate degree,,White,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,Effective,,Support,DK/REF,Gone down,DK/REF,3,No,999,DK/REF,Yes,DK/REF,
Male,21,18-24,Independent,DK/REF,Some college,,White,,DK/REF,DK/REF,DK/REF,President,,DK/REF,Not at all likely,Gone down,DK/REF,999,No,205,Too high,No,No,
Male,57,55-64,Republican,DK/REF,Some college,,White,,Somewhat Approve,Pro-Choice,Mostly Conservatives,Strong,,Support,Somewhat Likely,Gone down,TRUE,3,No,270,Accurate,No,Yes,No
Female,25,25-34,Republican,Conservative,High school or less,,Black,,Strongly Approve,Pro-life,Mostly Liberals,Social Security,,Support,Somewhat Likely,Gone up,FALSE,2,Yes,200,Accurate,No,Yes,Yes
Female,36,35-44,Independent,Moderate,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,The Hunger Games,,Oppose,DK/REF,DK/REF,TRUE,3,No,230,Accurate,Yes,No,
Male,46,45-54,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Embarrassment,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Female,52,45-54,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Hair,,Oppose,DK/REF,DK/REF,DK/REF,1,No,180,Too high,Yes,No,
Male,48,45-54,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Leader,,Support,Not at all likely,Gone down,FALSE,3,No,250,Too low,No,Yes,DK/REF
Female,77,65+,Democrat,Conservative,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Sick,,Oppose,Very Likely,Gone down,FALSE,3,No,225,Accurate,No,No,
Female,25,25-34,Democrat,Liberal,College degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Ignorance,,Oppose,Very Likely,Stayed the same,TRUE,999,No,200,Accurate,Yes,No,
Female,46,45-54,Democrat,DK/REF,College degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Racist,,Oppose,Very Likely,Stayed the same,FALSE,3,No,320,Too low,Yes,No,
Female,50,45-54,Independent,Moderate,Graduate degree,,White,,DK/REF,Pro-life,Mix of conservatives and liberals,President,,Oppose,Very Likely,Gone down,DK/REF,3,No,195,Accurate,Yes,No,
Female,35,35-44,Independent,Conservative,College degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Loudmouth,,Oppose,Somewhat Likely,Gone up,FALSE,3,No,210,Accurate,Yes,No,
Male,47,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,He is our president.,,Support,Not at all likely,Gone down,TRUE,2,No,280,Accurate,No,Yes,No
Female,76,65+,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Crazy,,Oppose,Very Likely,Gone up,TRUE,3,No,200,Accurate,Yes,No,
Female,55,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,DK/REF,DK/REF,Bad,,Support,DK/REF,Gone up,DK/REF,3,No,170,DK/REF,DK/REF,No,
